section,SAMPLE_NUM,N_COARSE,N_REF,coarse_J_min,coarse_J_mean,coarse_Z_EW,coarse_ESS,coarse_ESS_ratio,key,obs_mean,obs_min,obs_max,obs_std,obs_mean_abs,sigma,sigma_source,param,low_norm,up_norm,low_real,up_real,width_norm,method,resource_power,N,sqrt_N,repeat,exact_min_index,exact_min_J,QMSA_index,QMSA_J,abs_J_error,success_by_value,oracle_calls,classical_queries,query_reduction_factor,mean_oracle_calls,std_oracle_calls,mean_abs_J_error,success_rate,mean_query_reduction,N_or_Q,N_ref,Z_true,Z_est_mean,Z_est_std,MAE,RMSE,QAE_state_qubits,QAE_eval_qubits,histogram_target_E_f,MC_slope,QAE_slope
qmsa_summary,,,,,,,,,,,,,,,,,,,,,,,QMSA,7.0,128.0,,,,,,,,,,,,13.4,11.326958991715296,0.0,1.0,36.181333333333335,,,,,,,,,,,,
qmsa_summary,,,,,,,,,,,,,,,,,,,,,,,QMSA,8.0,256.0,,,,,,,,,,,,34.2,19.942417105255824,0.0,1.0,14.194830648362899,,,,,,,,,,,,
qmsa_summary,,,,,,,,,,,,,,,,,,,,,,,QMSA,9.0,512.0,,,,,,,,,,,,31.0,23.097618924902196,0.0,1.0,34.9769591190068,,,,,,,,,,,,
qmsa_summary,,,,,,,,,,,,,,,,,,,,,,,QMSA,10.0,1024.0,,,,,,,,,,,,36.2,20.42547429069886,0.0,1.0,46.8205197740113,,,,,,,,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,1.0,,,,,,,,,,,,,,,,,,2.0,16384.0,0.0026082652959755212,0.003650169844027818,0.008433649456645867,0.005073880378621277,0.008497764897008812,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,1.0,,,,,,,,,,,,,,,,,,2.0,16384.0,0.0026082652959755212,0.0009765624863575795,0.0,0.0016317028096179418,0.0016317028096179418,6.0,1.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,2.0,,,,,,,,,,,,,,,,,,4.0,16384.0,0.0026082652959755212,0.0036149436127563437,0.012636234478320902,0.004734937381938301,0.012676270075403987,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,2.0,,,,,,,,,,,,,,,,,,4.0,16384.0,0.0026082652959755212,0.0019592500680118983,0.0,0.000649015227963623,0.000649015227963623,6.0,2.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,3.0,,,,,,,,,,,,,,,,,,8.0,16384.0,0.0026082652959755212,0.0027295805851290157,0.006222907443334508,0.0035572916305080028,0.006224089848941002,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,3.0,,,,,,,,,,,,,,,,,,8.0,16384.0,0.0026082652959755212,0.0027557158681314536,0.0,0.00014745057215593237,0.00014745057215593237,6.0,3.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,4.0,,,,,,,,,,,,,,,,,,16.0,16384.0,0.0026082652959755212,0.003915834288529282,0.008887831622916164,0.0037630566713757843,0.008983500855879997,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,4.0,,,,,,,,,,,,,,,,,,16.0,16384.0,0.0026082652959755212,0.0022889998345647245,0.0,0.0003192654614107967,0.0003192654614107967,6.0,4.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,5.0,,,,,,,,,,,,,,,,,,32.0,16384.0,0.0026082652959755212,0.0035096864459827058,0.005513200155966912,0.0032920961100657313,0.005586406362719585,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,5.0,,,,,,,,,,,,,,,,,,32.0,16384.0,0.0026082652959755212,0.0024878920153081413,0.0,0.00012037328066737997,0.00012037328066737997,6.0,5.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,6.0,,,,,,,,,,,,,,,,,,64.0,16384.0,0.0026082652959755212,0.0029116586262046508,0.00308569757595874,0.0017798752819325366,0.003100576888758794,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,6.0,,,,,,,,,,,,,,,,,,64.0,16384.0,0.0026082652959755212,0.0022371745069637893,0.0,0.00037109078901173195,0.00037109078901173195,6.0,6.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,7.0,,,,,,,,,,,,,,,,,,128.0,16384.0,0.0026082652959755212,0.0024548630570953066,0.0018713329383581805,0.0013190966215334567,0.0018776099736307653,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,7.0,,,,,,,,,,,,,,,,,,128.0,16384.0,0.0026082652959755212,0.002627055948806009,0.0,1.8790652830487885e-05,1.8790652830487885e-05,6.0,7.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,8.0,,,,,,,,,,,,,,,,,,256.0,16384.0,0.0026082652959755212,0.00249784717556773,0.000744783845883745,0.0006137587426339073,0.0007529243908944453,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,8.0,,,,,,,,,,,,,,,,,,256.0,16384.0,0.0026082652959755212,0.0025949963894996413,0.0,1.3268906475879909e-05,1.3268906475879909e-05,6.0,8.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,9.0,,,,,,,,,,,,,,,,,,512.0,16384.0,0.0026082652959755212,0.0024529277266796086,0.0007536469208601528,0.0006609025491618393,0.0007694890783869203,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,9.0,,,,,,,,,,,,,,,,,,512.0,16384.0,0.0026082652959755212,0.002608514735026546,0.0,2.494390510246122e-07,2.494390510246122e-07,6.0,9.0,0.002608265295975523,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,MC,10.0,,,,,,,,,,,,,,,,,,1024.0,16384.0,0.0026082652959755212,0.0024000366675245377,0.0004876825292222345,0.0004632925699661226,0.0005302767305993857,,,,,
qae_scaling,,,,,,,,,,,,,,,,,,,,,,,QAE,10.0,,,,,,,,,,,,,,,,,,1024.0,16384.0,0.0026082652959755212,0.00260603735368982,0.0,2.2279422857013342e-06,2.2279422857013342e-06,6.0,10.0,0.002608265295975523,,
slope_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5283390854855721,-1.170132138800985
